"Date","Price","Open","High","Low","Change %"
"04/01/2021","2.3653","2.378","2.3849","2.3634","-0.34%"
"03/31/2021","2.3733","2.4185","2.4404","2.3686","-2.09%"
"03/30/2021","2.424","2.4008","2.4287","2.3977","0.85%"
"03/29/2021","2.4036","2.4343","2.4427","2.3908","-1.34%"
"03/26/2021","2.4361","2.4098","2.4395","2.4071","1.19%"
"03/25/2021","2.4075","2.3913","2.4126","2.3794","0.42%"
"03/24/2021","2.3975","2.4085","2.421","2.3837","-1.00%"
"03/23/2021","2.4217","2.4278","2.4399","2.4172","-0.17%"
"03/22/2021","2.4258","2.4227","2.4286","2.418","0.41%"
"03/19/2021","2.4159","2.4466","2.46","2.4143","-1.09%"
"03/18/2021","2.4426","2.4581","2.4723","2.4335","-0.40%"
"03/17/2021","2.4524","2.4269","2.4543","2.4076","0.77%"
"03/16/2021","2.4338","2.4265","2.4385","2.4123","0.13%"
"03/15/2021","2.4305","2.43","2.4348","2.422","-0.03%"
"03/12/2021","2.4312","2.4024","2.4428","2.3885","1.25%"
"03/11/2021","2.4013","2.3941","2.4166","2.3867","0.58%"
"03/10/2021","2.3875","2.3716","2.3974","2.3586","0.54%"
"03/09/2021","2.3747","2.3617","2.3753","2.3578","0.29%"
"03/08/2021","2.3677","2.3465","2.3696","2.3446","0.57%"
"03/05/2021","2.3543","2.3454","2.3826","2.343","0.79%"
"03/04/2021","2.3359","2.3208","2.3392","2.3073","0.30%"
"03/03/2021","2.3289","2.3458","2.3497","2.3213","-0.42%"
"03/02/2021","2.3387","2.3303","2.3642","2.3248","0.48%"
"03/01/2021","2.3276","2.3593","2.3593","2.3257","-1.13%"
"02/26/2021","2.3542","2.3414","2.3608","2.3383","0.31%"
"02/25/2021","2.3469","2.3438","2.3622","2.3368","0.10%"
"02/24/2021","2.3446","2.3287","2.3467","2.3197","0.47%"
"02/23/2021","2.3336","2.3314","2.3337","2.3289","0.07%"
"02/22/2021","2.332","2.3492","2.3517","2.3128","-0.81%"
"02/19/2021","2.3511","2.3281","2.3541","2.3244","0.93%"
"02/18/2021","2.3294","2.3224","2.3359","2.3142","0.59%"
"02/17/2021","2.3157","2.329","2.3398","2.3102","-0.50%"
"02/16/2021","2.3273","2.2981","2.3275","2.2916","1.45%"
"02/15/2021","2.2941","2.3275","2.3319","2.294","-1.08%"
"02/12/2021","2.3191","2.3276","2.3306","2.3048","-0.05%"
"02/11/2021","2.3203","2.3572","2.3574","2.3167","-1.59%"
"02/10/2021","2.3578","2.3617","2.3745","2.3458","-0.29%"
"02/09/2021","2.3645","2.3481","2.3723","2.3386","0.55%"
"02/08/2021","2.3515","2.386","2.3993","2.3497","-1.26%"
"02/05/2021","2.3815","2.4118","2.4166","2.3811","-1.12%"
"02/04/2021","2.4084","2.4342","2.4374","2.4082","-0.90%"
"02/03/2021","2.4303","2.4181","2.4473","2.4099","0.03%"
"02/02/2021","2.4296","2.4282","2.4354","2.4215","-0.28%"
"02/01/2021","2.4363","2.4145","2.4449","2.4023","0.55%"
"01/29/2021","2.423","2.4221","2.4282","2.4183","0.21%"
"01/28/2021","2.418","2.421","2.4356","2.4058","-0.15%"
"01/27/2021","2.4216","2.4319","2.4492","2.4202","-0.19%"
"01/26/2021","2.4261","2.4512","2.4545","2.4222","-0.98%"
"01/25/2021","2.4501","2.4777","2.4823","2.4482","-1.06%"
"01/22/2021","2.4763","2.5031","2.5053","2.4641","-1.17%"
"01/21/2021","2.5056","2.5087","2.5152","2.4887","0.12%"
"01/20/2021","2.5026","2.5211","2.5375","2.5013","-0.78%"
"01/19/2021","2.5222","2.4847","2.5355","2.4686","1.45%"
"01/18/2021","2.4862","2.4309","2.499","2.4266","1.90%"
"01/15/2021","2.4398","2.4445","2.445","2.4179","-0.11%"
"01/14/2021","2.4425","2.5065","2.5079","2.4411","-2.49%"
"01/13/2021","2.5049","2.5525","2.5578","2.5012","-1.65%"
"01/12/2021","2.5468","2.5721","2.5835","2.5462","-0.88%"
"01/11/2021","2.5694","2.5977","2.6061","2.5604","-0.87%"
"01/08/2021","2.5919","2.5924","2.5982","2.5847","-0.09%"
"01/07/2021","2.5944","2.5865","2.6005","2.5694","0.15%"
"01/06/2021","2.5906","2.5996","2.6101","2.5894","-0.33%"
"01/05/2021","2.5993","2.6093","2.6115","2.5991","-0.62%"
"01/04/2021","2.6155","2.6382","2.6391","2.6035","-0.73%"
"01/01/2021","2.6348","2.6157","2.6427","2.6078","0.32%"
"12/31/2020","2.6265","2.6011","2.6328","2.5945","0.89%"
"12/30/2020","2.6034","2.5861","2.6048","2.5676","0.61%"
"12/29/2020","2.5875","2.5804","2.6015","2.5768","0.29%"
"12/28/2020","2.5801","2.5918","2.5983","2.5565","-0.71%"
"12/25/2020","2.5986","2.588","2.6085","2.5807","0.35%"
"12/24/2020","2.5895","2.5797","2.5949","2.5759","0.41%"
"12/23/2020","2.579","2.5667","2.587","2.5456","0.12%"
"12/22/2020","2.5758","2.5591","2.5855","2.5418","0.46%"
"12/21/2020","2.5641","2.5545","2.575","2.5539","0.27%"
"12/18/2020","2.5572","2.5354","2.559","2.5321","0.80%"
"12/17/2020","2.5369","2.5456","2.5575","2.5347","-0.41%"
"12/16/2020","2.5474","2.5423","2.5518","2.5237","0.14%"
"12/15/2020","2.5438","2.5338","2.5447","2.5206","-0.05%"
"12/14/2020","2.5451","2.5347","2.5541","2.5255","0.43%"
"12/11/2020","2.5342","2.5435","2.5525","2.5283","-0.53%"
"12/10/2020","2.5477","2.5828","2.5846","2.5455","-1.65%"
"12/09/2020","2.5904","2.6035","2.6048","2.5816","-0.41%"
"12/08/2020","2.6011","2.5775","2.6012","2.5648","0.88%"
"12/07/2020","2.5785","2.5609","2.5897","2.5426","0.78%"
"12/04/2020","2.5586","2.5806","2.5825","2.5452","-0.79%"
"12/03/2020","2.579","2.609","2.6253","2.5767","-0.74%"
"12/02/2020","2.5982","2.6011","2.6165","2.5972","-0.49%"
"12/01/2020","2.6109","2.5677","2.6139","2.5576","1.43%"
"11/30/2020","2.5741","2.5653","2.5924","2.5562","0.59%"
"11/27/2020","2.5591","2.5552","2.5626","2.5523","0.09%"
"11/26/2020","2.5568","2.5425","2.5582","2.5392","0.42%"
"11/25/2020","2.5462","2.5217","2.5541","2.5131","0.79%"
"11/24/2020","2.5263","2.5357","2.5514","2.5247","-0.02%"
"11/23/2020","2.5269","2.5053","2.5293","2.505","1.22%"
"11/20/2020","2.4965","2.4745","2.5137","2.4742","0.58%"
"11/19/2020","2.4821","2.4892","2.5","2.4768","-0.49%"
"11/18/2020","2.4944","2.4679","2.5018","2.4642","1.01%"
"11/17/2020","2.4694","2.4924","2.5171","2.4505","-0.49%"
"11/16/2020","2.4815","2.5088","2.5219","2.478","-0.96%"
"11/13/2020","2.5056","2.5164","2.5172","2.5002","-0.37%"
"11/12/2020","2.5149","2.5489","2.5548","2.5142","-1.14%"
"11/11/2020","2.544","2.534","2.5464","2.5253","0.55%"
"11/10/2020","2.5302","2.5448","2.5507","2.5267","-0.42%"
"11/09/2020","2.541","2.5195","2.5561","2.5112","0.57%"
"11/06/2020","2.5266","2.528","2.5416","2.5179","0.01%"
"11/05/2020","2.5265","2.487","2.5274","2.4805","1.60%"
"11/04/2020","2.4867","2.4884","2.4916","2.4791","-0.30%"
"11/03/2020","2.4942","2.4906","2.5199","2.4844","-0.06%"
"11/02/2020","2.4957","2.4743","2.496","2.4648","0.78%"
"10/30/2020","2.4764","2.4655","2.4863","2.4613","0.36%"
"10/29/2020","2.4676","2.4661","2.474","2.4538","0.08%"
"10/28/2020","2.4656","2.5029","2.507","2.4633","-1.57%"
"10/27/2020","2.5049","2.507","2.5191","2.4964","-0.20%"
"10/26/2020","2.5099","2.4956","2.5127","2.4956","0.56%"
"10/23/2020","2.4958","2.5186","2.5377","2.4822","-1.01%"
"10/22/2020","2.5214","2.5286","2.5477","2.5154","-0.37%"
"10/21/2020","2.5308","2.5505","2.557","2.5254","-0.54%"
"10/20/2020","2.5445","2.5166","2.5499","2.5157","0.88%"
"10/19/2020","2.5224","2.4826","2.5274","2.4811","1.48%"
"10/16/2020","2.4856","2.4795","2.4863","2.4714","-0.36%"
"10/15/2020","2.4946","2.5126","2.5359","2.4897","-0.63%"
"10/14/2020","2.5104","2.5061","2.525","2.5009","0.02%"
"10/13/2020","2.51","2.5189","2.5197","2.5007","-0.46%"
"10/12/2020","2.5217","2.5734","2.577","2.5108","-1.90%"
"10/09/2020","2.5706","2.551","2.5763","2.5411","0.75%"
"10/08/2020","2.5515","2.5758","2.5825","2.5474","-1.00%"
"10/07/2020","2.5772","2.5709","2.5855","2.5634","0.19%"
"10/06/2020","2.5724","2.568","2.5882","2.5587","0.24%"
"10/05/2020","2.5664","2.5519","2.5716","2.5479","0.39%"
"10/02/2020","2.5563","2.5162","2.5632","2.5148","1.53%"
"10/01/2020","2.5177","2.506","2.5287","2.4855","0.43%"
"09/30/2020","2.5071","2.4862","2.5233","2.485","1.13%"
"09/29/2020","2.4791","2.4656","2.4851","2.4595","0.67%"
"09/28/2020","2.4625","2.468","2.4705","2.4612","-0.21%"
"09/25/2020","2.4677","2.4715","2.4737","2.457","-0.30%"
"09/24/2020","2.4752","2.4512","2.4753","2.4503","0.68%"
"09/23/2020","2.4586","2.5091","2.5158","2.448","-1.85%"
"09/22/2020","2.505","2.5402","2.5481","2.4997","-1.32%"
"09/21/2020","2.5385","2.5344","2.5459","2.5339","0.05%"
"09/18/2020","2.5373","2.5552","2.5738","2.5327","-0.49%"
"09/17/2020","2.5498","2.5418","2.561","2.5371","0.25%"
"09/16/2020","2.5434","2.516","2.5498","2.5081","1.10%"
"09/15/2020","2.5157","2.5113","2.5302","2.5101","0.23%"
"09/14/2020","2.51","2.5","2.5157","2.4901","0.13%"
"09/11/2020","2.5067","2.5225","2.5413","2.5005","-0.67%"
"09/10/2020","2.5237","2.491","2.5266","2.4727","1.00%"
"09/09/2020","2.4986","2.4995","2.5051","2.4893","0.20%"
"09/08/2020","2.4937","2.4609","2.4995","2.4526","1.14%"
"09/07/2020","2.4655","2.4646","2.4845","2.4628","0.69%"
"09/04/2020","2.4486","2.4125","2.4492","2.4101","1.47%"
"09/03/2020","2.4131","2.438","2.4507","2.4002","-0.83%"
"09/02/2020","2.4333","2.4592","2.4596","2.4305","-0.61%"
"09/01/2020","2.4481","2.4457","2.4502","2.4277","0.01%"
"08/31/2020","2.4478","2.3793","2.4572","2.3613","2.62%"
"08/28/2020","2.3853","2.3906","2.3991","2.3848","-0.19%"
"08/27/2020","2.3899","2.4111","2.4125","2.3899","-1.21%"
"08/26/2020","2.4191","2.4115","2.4195","2.3965","0.40%"
"08/25/2020","2.4095","2.3859","2.41","2.3851","0.88%"
"08/24/2020","2.3885","2.4177","2.419","2.3841","-0.99%"
"08/21/2020","2.4123","2.4108","2.4264","2.4053","-0.13%"
"08/20/2020","2.4154","2.3937","2.4335","2.3915","0.81%"
"08/19/2020","2.396","2.3563","2.4042","2.3339","1.38%"
"08/18/2020","2.3633","2.3932","2.3955","2.3553","-1.23%"
"08/17/2020","2.3927","2.3671","2.3957","2.3588","0.79%"
"08/14/2020","2.374","2.3485","2.3847","2.3442","0.92%"
"08/13/2020","2.3523","2.3521","2.3553","2.3391","-0.11%"
"08/12/2020","2.3548","2.3749","2.3759","2.342","-0.49%"
"08/11/2020","2.3664","2.3627","2.3706","2.3578","0.25%"
"08/10/2020","2.3606","2.3289","2.3741","2.3186","1.33%"
"08/07/2020","2.3296","2.3463","2.3669","2.3266","-0.79%"
"08/06/2020","2.3481","2.3751","2.379","2.3419","-1.05%"
"08/05/2020","2.373","2.3701","2.3803","2.3551","0.58%"
"08/04/2020","2.3594","2.3479","2.3698","2.3451","0.43%"
"08/03/2020","2.3493","2.3489","2.35","2.3429","-0.27%"
"07/31/2020","2.3558","2.3373","2.3576","2.3225","1.15%"
"07/30/2020","2.329","2.3619","2.3639","2.3096","-1.47%"
"07/29/2020","2.3637","2.3621","2.3641","2.3529","-0.21%"
"07/28/2020","2.3687","2.3688","2.3715","2.3555","-0.09%"
"07/27/2020","2.3709","2.3547","2.3785","2.3426","0.36%"
"07/24/2020","2.3624","2.3261","2.3687","2.3207","1.20%"
"07/23/2020","2.3344","2.3112","2.3385","2.3086","0.84%"
"07/22/2020","2.315","2.3","2.3202","2.2895","0.75%"
"07/21/2020","2.2977","2.2984","2.3109","2.2882","-0.09%"
"07/20/2020","2.2997","2.3027","2.3062","2.2996","-0.32%"
"07/17/2020","2.3069","2.3045","2.3211","2.2878","0.19%"
"07/16/2020","2.3025","2.3254","2.3376","2.2936","-0.97%"
"07/15/2020","2.3251","2.2997","2.3254","2.2988","0.95%"
"07/14/2020","2.3033","2.2897","2.3082","2.2819","0.53%"
"07/13/2020","2.2913","2.2846","2.3018","2.2822","0.39%"
"07/10/2020","2.2824","2.281","2.3112","2.2809","-0.13%"
"07/09/2020","2.2855","2.2807","2.2937","2.2745","0.26%"
"07/08/2020","2.2795","2.2928","2.3122","2.2684","-0.69%"
"07/07/2020","2.2954","2.3018","2.3061","2.2901","-0.59%"
"07/06/2020","2.3089","2.2999","2.3103","2.2941","0.50%"
"07/03/2020","2.2974","2.2729","2.3045","2.2715","1.13%"
"07/02/2020","2.2716","2.2583","2.29","2.2453","0.44%"
"07/01/2020","2.2617","2.2928","2.2941","2.254","-1.54%"
"06/30/2020","2.2971","2.2917","2.3055","2.2804","0.05%"
"06/29/2020","2.2959","2.3022","2.3139","2.2885","-0.28%"
"06/26/2020","2.3024","2.3272","2.329","2.3","-0.88%"
"06/25/2020","2.3228","2.346","2.3604","2.3101","-0.72%"
"06/24/2020","2.3397","2.33","2.3432","2.3115","0.58%"
"06/23/2020","2.3261","2.2992","2.3328","2.2943","1.14%"
"06/22/2020","2.2998","2.2722","2.3185","2.2709","1.35%"
"06/19/2020","2.2691","2.2843","2.2959","2.2617","-0.49%"
"06/18/2020","2.2802","2.2677","2.2825","2.2621","0.68%"
"06/17/2020","2.2648","2.2532","2.2678","2.2492","0.52%"
"06/16/2020","2.2532","2.2478","2.2636","2.246","0.10%"
"06/15/2020","2.2509","2.2533","2.2639","2.2282","-0.14%"
"06/12/2020","2.254","2.2481","2.2665","2.2476","0.47%"
"06/11/2020","2.2436","2.2256","2.2568","2.2152","1.15%"
"06/10/2020","2.2181","2.2364","2.2373","2.2041","-0.41%"
"06/09/2020","2.2272","2.2626","2.2634","2.2194","-1.31%"
