Date;Symbol;Indexvalue
31.03.2020;V2TX;26.4145
01.04.2020;V2TX;26.4852
02.04.2020;V2TX;25.8208
03.04.2020;V2TX;26.7723
06.04.2020;V2TX;27.0697
07.04.2020;V2TX;27.1515
08.04.2020;V2TX;27.2025
09.04.2020;V2TX;27.4189
10.04.2020;V2TX;27.8820
13.04.2020;V2TX;28.4193
14.04.2020;V2TX;29.3858
15.04.2020;V2TX;29.5314
16.04.2020;V2TX;30.5839
17.04.2020;V2TX;31.2185
20.04.2020;V2TX;31.1825
21.04.2020;V2TX;30.1820
22.04.2020;V2TX;30.2334
23.04.2020;V2TX;31.1685
24.04.2020;V2TX;30.7033
27.04.2020;V2TX;30.7528
28.04.2020;V2TX;30.8519
29.04.2020;V2TX;31.4172
30.04.2020;V2TX;31.1845
01.05.2020;V2TX;30.6629
04.05.2020;V2TX;31.0049
05.05.2020;V2TX;30.5588
06.05.2020;V2TX;29.4575
07.05.2020;V2TX;30.5618
08.05.2020;V2TX;31.1180
11.05.2020;V2TX;32.2480
12.05.2020;V2TX;32.7724
13.05.2020;V2TX;33.1806
14.05.2020;V2TX;33.4024
15.05.2020;V2TX;33.2907
18.05.2020;V2TX;33.5980
19.05.2020;V2TX;33.2661
20.05.2020;V2TX;32.6245
21.05.2020;V2TX;32.4252
22.05.2020;V2TX;33.2001
25.05.2020;V2TX;32.4606
26.05.2020;V2TX;31.7307
27.05.2020;V2TX;32.0855
28.05.2020;V2TX;31.8365
29.05.2020;V2TX;32.1278
01.06.2020;V2TX;32.7217
02.06.2020;V2TX;32.9986
03.06.2020;V2TX;32.6193
04.06.2020;V2TX;33.3890
05.06.2020;V2TX;33.8343
08.06.2020;V2TX;33.8504
09.06.2020;V2TX;33.8374
10.06.2020;V2TX;34.0618
11.06.2020;V2TX;33.8746
12.06.2020;V2TX;32.8959
15.06.2020;V2TX;33.3460
16.06.2020;V2TX;33.7605
17.06.2020;V2TX;32.3798
18.06.2020;V2TX;32.6862
19.06.2020;V2TX;33.7401
22.06.2020;V2TX;33.0635
23.06.2020;V2TX;33.0196
24.06.2020;V2TX;32.9104
25.06.2020;V2TX;33.9066
26.06.2020;V2TX;34.5792
29.06.2020;V2TX;34.0521
30.06.2020;V2TX;34.2574
01.07.2020;V2TX;35.6390
02.07.2020;V2TX;35.2642
03.07.2020;V2TX;35.2575
06.07.2020;V2TX;35.5656
07.07.2020;V2TX;35.1996
08.07.2020;V2TX;36.2575
09.07.2020;V2TX;35.9739
10.07.2020;V2TX;35.1405
13.07.2020;V2TX;34.8255
14.07.2020;V2TX;35.2173
15.07.2020;V2TX;34.7384
16.07.2020;V2TX;34.9197
17.07.2020;V2TX;35.2572
20.07.2020;V2TX;34.5319
21.07.2020;V2TX;34.1937
22.07.2020;V2TX;34.4030
23.07.2020;V2TX;34.8245
24.07.2020;V2TX;34.5012
27.07.2020;V2TX;34.5923
28.07.2020;V2TX;34.4219
29.07.2020;V2TX;34.8586
30.07.2020;V2TX;35.1703
31.07.2020;V2TX;34.9462
03.08.2020;V2TX;35.2332
04.08.2020;V2TX;34.9857
05.08.2020;V2TX;35.2601
06.08.2020;V2TX;35.5429
07.08.2020;V2TX;36.9655
10.08.2020;V2TX;36.7638
11.08.2020;V2TX;36.6790
12.08.2020;V2TX;36.2907
13.08.2020;V2TX;35.6710
14.08.2020;V2TX;35.3971
17.08.2020;V2TX;35.7961
18.08.2020;V2TX;36.2386
19.08.2020;V2TX;36.4160
20.08.2020;V2TX;36.2386
21.08.2020;V2TX;35.9425
24.08.2020;V2TX;35.3924
25.08.2020;V2TX;35.0583
26.08.2020;V2TX;34.2812
27.08.2020;V2TX;35.0960
28.08.2020;V2TX;36.1982
31.08.2020;V2TX;35.0367
01.09.2020;V2TX;35.2103
02.09.2020;V2TX;35.3739
03.09.2020;V2TX;35.4992
04.09.2020;V2TX;35.1435
07.09.2020;V2TX;35.7570
08.09.2020;V2TX;36.0033
09.09.2020;V2TX;36.6238
10.09.2020;V2TX;36.1813
11.09.2020;V2TX;35.3514
14.09.2020;V2TX;35.6123
15.09.2020;V2TX;35.0346
16.09.2020;V2TX;35.6673
17.09.2020;V2TX;34.3914
18.09.2020;V2TX;34.1102
21.09.2020;V2TX;33.7407
22.09.2020;V2TX;33.5412
23.09.2020;V2TX;33.6979
24.09.2020;V2TX;33.9356
25.09.2020;V2TX;34.3195
28.09.2020;V2TX;34.7725
29.09.2020;V2TX;34.6696
30.09.2020;V2TX;35.9348
01.10.2020;V2TX;36.7670
02.10.2020;V2TX;36.5799
05.10.2020;V2TX;36.4977
06.10.2020;V2TX;36.2979
07.10.2020;V2TX;36.5159
08.10.2020;V2TX;35.9327
09.10.2020;V2TX;35.4590
12.10.2020;V2TX;34.1586
13.10.2020;V2TX;33.9194
14.10.2020;V2TX;34.5582
15.10.2020;V2TX;34.4670
16.10.2020;V2TX;34.4093
19.10.2020;V2TX;34.5762
20.10.2020;V2TX;33.9748
21.10.2020;V2TX;33.9900
22.10.2020;V2TX;34.5242
23.10.2020;V2TX;34.7081
26.10.2020;V2TX;35.2950
27.10.2020;V2TX;36.0535
28.10.2020;V2TX;36.4511
29.10.2020;V2TX;36.0230
30.10.2020;V2TX;35.8166
02.11.2020;V2TX;36.9755
03.11.2020;V2TX;37.1640
04.11.2020;V2TX;37.2725
05.11.2020;V2TX;36.7566
06.11.2020;V2TX;36.7017
09.11.2020;V2TX;37.1315
10.11.2020;V2TX;37.1404
11.11.2020;V2TX;36.8288
12.11.2020;V2TX;36.6564
13.11.2020;V2TX;37.3714
16.11.2020;V2TX;37.7721
17.11.2020;V2TX;38.0925
18.11.2020;V2TX;38.3571
19.11.2020;V2TX;37.6473
20.11.2020;V2TX;37.8107
23.11.2020;V2TX;38.4515
24.11.2020;V2TX;38.2949
25.11.2020;V2TX;38.8814
26.11.2020;V2TX;39.2085
27.11.2020;V2TX;39.7051
30.11.2020;V2TX;39.7357
01.12.2020;V2TX;40.2676
02.12.2020;V2TX;39.3888
03.12.2020;V2TX;39.4087
04.12.2020;V2TX;39.8365
07.12.2020;V2TX;40.0143
08.12.2020;V2TX;40.6717
09.12.2020;V2TX;40.5774
10.12.2020;V2TX;40.2489
11.12.2020;V2TX;39.2655
14.12.2020;V2TX;39.1017
15.12.2020;V2TX;39.4118
16.12.2020;V2TX;39.8684
17.12.2020;V2TX;39.0289
18.12.2020;V2TX;39.7341
21.12.2020;V2TX;39.1495
22.12.2020;V2TX;39.0768
23.12.2020;V2TX;38.7355
24.12.2020;V2TX;38.9858
25.12.2020;V2TX;39.0423
28.12.2020;V2TX;39.4491
29.12.2020;V2TX;40.5553
30.12.2020;V2TX;40.7941
31.12.2020;V2TX;40.4481
01.01.2021;V2TX;40.7247
04.01.2021;V2TX;41.8918
05.01.2021;V2TX;42.2856
06.01.2021;V2TX;42.8530
07.01.2021;V2TX;41.8969
08.01.2021;V2TX;42.1290
11.01.2021;V2TX;41.9682
12.01.2021;V2TX;41.5601
13.01.2021;V2TX;41.5467
14.01.2021;V2TX;41.6119
15.01.2021;V2TX;41.2372
18.01.2021;V2TX;41.3503
19.01.2021;V2TX;41.2462
20.01.2021;V2TX;41.6677
21.01.2021;V2TX;41.8042
22.01.2021;V2TX;42.0298
25.01.2021;V2TX;42.6174
26.01.2021;V2TX;42.9504
27.01.2021;V2TX;42.9468
28.01.2021;V2TX;41.6946
29.01.2021;V2TX;42.0028
01.02.2021;V2TX;41.4557
02.02.2021;V2TX;41.4039
03.02.2021;V2TX;41.6266
04.02.2021;V2TX;42.4264
05.02.2021;V2TX;43.5318
08.02.2021;V2TX;42.9790
09.02.2021;V2TX;42.1895
10.02.2021;V2TX;42.3850
11.02.2021;V2TX;42.5304
12.02.2021;V2TX;41.8093
15.02.2021;V2TX;41.7993
16.02.2021;V2TX;42.1579
17.02.2021;V2TX;41.4198
18.02.2021;V2TX;40.8230
19.02.2021;V2TX;40.4365
22.02.2021;V2TX;40.3092
23.02.2021;V2TX;40.7255
24.02.2021;V2TX;40.5297
25.02.2021;V2TX;40.5628
26.02.2021;V2TX;41.9106
01.03.2021;V2TX;41.3368
02.03.2021;V2TX;40.9450
03.03.2021;V2TX;41.3518
04.03.2021;V2TX;41.9446
05.03.2021;V2TX;42.1935
08.03.2021;V2TX;43.2789
09.03.2021;V2TX;43.4694
10.03.2021;V2TX;42.2837
11.03.2021;V2TX;42.3419
12.03.2021;V2TX;41.9993
15.03.2021;V2TX;42.8296
16.03.2021;V2TX;43.4084
17.03.2021;V2TX;42.4546
18.03.2021;V2TX;43.2648
19.03.2021;V2TX;43.8284
22.03.2021;V2TX;43.6337
23.03.2021;V2TX;43.5866
24.03.2021;V2TX;44.4219
25.03.2021;V2TX;43.2390
26.03.2021;V2TX;43.5063
29.03.2021;V2TX;44.1623
30.03.2021;V2TX;44.1091
31.03.2021;V2TX;44.4978
01.04.2021;V2TX;44.5597
02.04.2021;V2TX;44.0893
05.04.2021;V2TX;43.6039
06.04.2021;V2TX;44.0311
07.04.2021;V2TX;43.6496
08.04.2021;V2TX;42.7349
09.04.2021;V2TX;42.8083
12.04.2021;V2TX;42.5005
13.04.2021;V2TX;41.7810
14.04.2021;V2TX;41.8241
15.04.2021;V2TX;42.2844
16.04.2021;V2TX;42.2965
19.04.2021;V2TX;41.6568
20.04.2021;V2TX;41.9458
21.04.2021;V2TX;42.5669
22.04.2021;V2TX;43.8948
23.04.2021;V2TX;44.7599
26.04.2021;V2TX;44.1567
27.04.2021;V2TX;44.6715
28.04.2021;V2TX;44.8254
29.04.2021;V2TX;44.1342
30.04.2021;V2TX;44.3044
03.05.2021;V2TX;45.4556
04.05.2021;V2TX;46.1732
05.05.2021;V2TX;45.5651
06.05.2021;V2TX;45.5733
07.05.2021;V2TX;45.8683
10.05.2021;V2TX;44.8304
11.05.2021;V2TX;43.8131
12.05.2021;V2TX;43.9059
13.05.2021;V2TX;44.0065
14.05.2021;V2TX;42.9032
17.05.2021;V2TX;43.1360
18.05.2021;V2TX;43.7882
19.05.2021;V2TX;43.6572
20.05.2021;V2TX;43.6931
21.05.2021;V2TX;44.0359
24.05.2021;V2TX;44.2993
25.05.2021;V2TX;43.2982
26.05.2021;V2TX;42.7551
27.05.2021;V2TX;42.5176
28.05.2021;V2TX;42.0011
31.05.2021;V2TX;42.8813
01.06.2021;V2TX;43.2620
02.06.2021;V2TX;42.5961
03.06.2021;V2TX;42.4675
04.06.2021;V2TX;43.1458
07.06.2021;V2TX;42.7580
08.06.2021;V2TX;43.2690
09.06.2021;V2TX;44.0989
10.06.2021;V2TX;44.8286
11.06.2021;V2TX;44.9368
14.06.2021;V2TX;45.6874
15.06.2021;V2TX;45.3741
16.06.2021;V2TX;46.8656
17.06.2021;V2TX;47.0101
18.06.2021;V2TX;47.6982
21.06.2021;V2TX;47.4810
22.06.2021;V2TX;47.7806
23.06.2021;V2TX;48.1067
24.06.2021;V2TX;47.5494
25.06.2021;V2TX;46.9743
28.06.2021;V2TX;46.8516
29.06.2021;V2TX;47.5148
30.06.2021;V2TX;46.4160
01.07.2021;V2TX;46.1983
02.07.2021;V2TX;46.9842
05.07.2021;V2TX;46.2449
06.07.2021;V2TX;46.9973
07.07.2021;V2TX;46.3206
08.07.2021;V2TX;45.7707
09.07.2021;V2TX;45.6823
12.07.2021;V2TX;46.8064
13.07.2021;V2TX;46.4224
14.07.2021;V2TX;45.3826
15.07.2021;V2TX;44.5415
16.07.2021;V2TX;45.1006
19.07.2021;V2TX;44.2878
20.07.2021;V2TX;45.0006
21.07.2021;V2TX;45.0424
22.07.2021;V2TX;45.0231
23.07.2021;V2TX;45.2015
26.07.2021;V2TX;44.7209
27.07.2021;V2TX;44.8036
28.07.2021;V2TX;44.0878
29.07.2021;V2TX;44.8971
30.07.2021;V2TX;44.2807
02.08.2021;V2TX;44.5441
03.08.2021;V2TX;43.9232
04.08.2021;V2TX;43.6033
05.08.2021;V2TX;43.3790
06.08.2021;V2TX;45.1678
09.08.2021;V2TX;45.1591
10.08.2021;V2TX;44.6662
11.08.2021;V2TX;44.3995
12.08.2021;V2TX;43.4967
13.08.2021;V2TX;43.3990
16.08.2021;V2TX;44.5097
17.08.2021;V2TX;44.7113
18.08.2021;V2TX;45.2533
19.08.2021;V2TX;44.7074
20.08.2021;V2TX;44.5854
23.08.2021;V2TX;44.7077
24.08.2021;V2TX;44.2725
25.08.2021;V2TX;44.5125
26.08.2021;V2TX;44.8818
27.08.2021;V2TX;45.2075
30.08.2021;V2TX;45.1168
31.08.2021;V2TX;45.7714
01.09.2021;V2TX;45.6168
02.09.2021;V2TX;45.4075
03.09.2021;V2TX;46.2724
06.09.2021;V2TX;45.6083
07.09.2021;V2TX;44.5865
08.09.2021;V2TX;44.0658
09.09.2021;V2TX;44.2981
10.09.2021;V2TX;45.0683
13.09.2021;V2TX;44.6720
14.09.2021;V2TX;45.7609
15.09.2021;V2TX;45.7772
16.09.2021;V2TX;45.7079
17.09.2021;V2TX;45.1979
20.09.2021;V2TX;46.3687
21.09.2021;V2TX;46.2786
22.09.2021;V2TX;45.4794
23.09.2021;V2TX;46.9540
24.09.2021;V2TX;47.1902
27.09.2021;V2TX;47.6695
28.09.2021;V2TX;48.6784
29.09.2021;V2TX;49.0471
30.09.2021;V2TX;49.6320
01.10.2021;V2TX;49.6646
04.10.2021;V2TX;50.1048
05.10.2021;V2TX;50.0844
06.10.2021;V2TX;50.0722
07.10.2021;V2TX;50.1441
08.10.2021;V2TX;49.9060
11.10.2021;V2TX;50.2086
12.10.2021;V2TX;50.5097
13.10.2021;V2TX;51.0010
14.10.2021;V2TX;51.3848
15.10.2021;V2TX;52.5848
18.10.2021;V2TX;53.2164
19.10.2021;V2TX;53.0921
20.10.2021;V2TX;53.3639
21.10.2021;V2TX;54.2115
22.10.2021;V2TX;53.6415
25.10.2021;V2TX;54.8501
26.10.2021;V2TX;54.3853
27.10.2021;V2TX;54.9255
28.10.2021;V2TX;54.9294
29.10.2021;V2TX;54.8989
01.11.2021;V2TX;54.1171
02.11.2021;V2TX;54.6616
03.11.2021;V2TX;53.8886
04.11.2021;V2TX;53.0229
05.11.2021;V2TX;53.7188
08.11.2021;V2TX;54.7925
09.11.2021;V2TX;54.3922
10.11.2021;V2TX;54.9940
11.11.2021;V2TX;55.4720
12.11.2021;V2TX;55.4171
15.11.2021;V2TX;56.2185
16.11.2021;V2TX;56.1204
17.11.2021;V2TX;56.4309
18.11.2021;V2TX;55.6786
19.11.2021;V2TX;54.9520
22.11.2021;V2TX;55.6534
23.11.2021;V2TX;55.9842
24.11.2021;V2TX;55.8987
25.11.2021;V2TX;57.0434
26.11.2021;V2TX;58.1818
29.11.2021;V2TX;58.4453
30.11.2021;V2TX;57.5719
01.12.2021;V2TX;57.5049
02.12.2021;V2TX;57.0054
03.12.2021;V2TX;57.0591
06.12.2021;V2TX;56.4973
07.12.2021;V2TX;55.7796
08.12.2021;V2TX;54.4220
09.12.2021;V2TX;54.5224
10.12.2021;V2TX;53.1431
13.12.2021;V2TX;52.9510
14.12.2021;V2TX;53.3676
15.12.2021;V2TX;52.9343
16.12.2021;V2TX;52.2834
17.12.2021;V2TX;52.2427
20.12.2021;V2TX;51.7456
21.12.2021;V2TX;51.8570
22.12.2021;V2TX;51.2373
23.12.2021;V2TX;51.1746
24.12.2021;V2TX;50.9667
27.12.2021;V2TX;50.9598
28.12.2021;V2TX;51.9409
29.12.2021;V2TX;52.0608
30.12.2021;V2TX;52.3635
31.12.2021;V2TX;51.9886
